Grupp A;;;;;;
Turkiet;0;2;Italien;C.Immobile;L.Insigne; +2 for right winner
Wales;1;2;Schweiz;X. Shaqiri;B. Embolo;A. Ramsey
Turkiet;2;1;Wales;G. Bale;B. Yilmaz;H. Calhanoglu
Italien;1;0;Schweiz;C.Immobile;; +2 for right winner
Italien;2;0;Wales;C.Immobile;A.Belloti; +2 for right winner
Turkiet;1;2;Schweiz;H. Seferovic;S. Zuber;O. Tufan; +2 for right winner
;;P;+;-;;Obs detta �r bara sammanfattningar har jag skrivit fel nedan s� �r det ovan som g�ller och det g�ller alla grupper
;Italien;9;5;0;; +2 for correct goals conceded; +4 correct placement
;Schweiz;6;4;3;; +2 for correct goals scored
;Turkiet;3;3;5;;
;Wales;0;2;6;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Grupp B;;;;;;
Denmark;2;0;Finland;Y. Poulsen;C. Eriksen;
Belgien;2;0;Ryssland;R. Lukaku;Y. Carrasco; +2 for right winner
Finland;1;2;Ryssland;A. Dzyuba;A. Golovin;T. Pukki; +2 for right winner
Denmark;1;2;Belgien;E. Hazard;T. Hazard;P. H�jbjerg; +2 for right winner, +2 for right results
Finland;0;3;Belgien;R. Lukaku;R. Lukaku;D. Mertens; +2 for right winner
Denmark;1;0;Ryssland;Y. Poulsen;; +2 for right winner
;;P;+;-;;
;Belgien;9;7;1;; +6 for correct goals scored and goals conceded; +4 correct placement
;Denmark;6;4;2;; +4 correct placement
;Ryssland;3;2;4;; +2 for correct goals scored
;Finland;0;1;7;; +2 for correct goals scored
;;;;;;
;;;;;;
;;;;;;
Grupp C;;;;;;
Österrike;2;0;Nordmakedonien;D. Alaba;M.Sabitzer; +2 for right winner
Nederländerna;2;1;Ukraina;G. Wijnaldum;F. De Jong;R.  Malinovskyi; +2 for right winner
Nederländerna;2;1;Österrike;M.Depay;L. De Jong;M. Arnautovi?; +2 for right winner
Ukraina;2;0;Nordmakedonien;A. Yarmolenko;R.Yaremchuck; +2 for right winner
Österrike;1;1;Ukraina;S.Kalajdzic;T. Stepanenko;
Nederländerna;3;0;Nordmakedonien;M.Depay;M.Depay;S. Berghuis; +2 for right winner, +2 for right results
;;P;+;-;;
;Nederl�nderna;9;7;2;; +2 for correct goals conceded; +4 correct placement
;Ukraina;4;4;3;;Ukraina vinner p� minst kort eller vad man nu r�knar p� n�r allt annat �r lika; +2 for correct goals scored
;�sterrike;4;4;3;; +6 for correct goals scored and goals conceded
;Nordmakedonien;0;0;7;; +4 correct placement
;;;;;;
;;;;;;
Grupp D;;;;;;
England;2;1;Kroatien;H. Kane;J. Sancho;M. Kova?i?; +2 for right winner
Skottland;0;1;Tjeckien;V. Darida;;+2 for right winner
Kroatien;2;0;Tjeckien;I. Perisic;A. Rebic; 
Skottland;0;3;England;H. Kane;R. Sterling;M. Rashford; I get +2 here but I should not! 
Kroatien;2;0;Skottland;I. Perisic;A. Kramari?;
England;2;0;Tjeckien;H. Kane;R. Sterling;
;;P;+;-;;
;England;9;7;1;; +4 correct placement
;Kroatien;6;5;2;; +4 correct placement
;Tjeckien;3;1;4;; +4 correct placement
;Skottland;0;0;6;; +4 correct placement
;;;;;;
;;;;;;
;;;;;;
Grupp E;;;;;;
Spanien;1;0;Sverige;A. Morata;; 
Polen;2;0;Slovakien;R. Lewandowski;R. Lewandowski;
Sverige;2;0;Slovakien;A. Isak;M. Berg;
Spanien;2;1;Polen;A. Morata;Koke;K. Linetty
Sverige;1;1;Polen;P. Zielinski;E. Forsberg;
Spanien;3;0;Slovakien;A. Morata;F. Torres;D. Olmo
;;P;+;-;;
;Spanien;9;6;1;;  +6 for correct goals scored and goals conceded
;Polen;4;4;3;; +2 for correct goals scored
;Sverige;4;3;2;; +2 for correct goals conceded
;Slovakien;0;0;7;; +2 for correct goals conceded
;;;;;;
Grupp F;;;;;;
Ungern;0;3;Portugal;C. Ronaldo;C. Ronaldo;C. Ronaldo
Frankrike;2;1;Tyskland;A. Griezmann;T. M�ller;P. Pogba
Ungern;0;3;Frankrike;K. Mbapp�;K. Mbapp�;A. Griezmann
Portugal;1;1;Tyskland;C. Ronaldo;T. Werner;
Ungern;0;2;Tyskland;S. Gnabry;S. Gnabry;
Frankrike;1;0;Portugal;K.Benzema;;
;;P;+;-;;
;Frankrike;9;6;1;; +4 correct placement
;Portugal;4;4;2;;  
;Tyskland;4;4;3;;  +4 for correct goal difference;
;Ungern;0;0;8;; +4 correct placement
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;FECA �r de grupper med 3:or som kvallar;;
;;;;Obs Turkiet har mer m�l (om man inte g�r p� det s� antar jag att de f�r mindre kort);;
